table : mutation | table des mutations
artcgi||varchar(20)|U||DVF|ann_cgi|2
libartcgi||varchar(254)|||DVF|ann_cgi|3
table : ann_nature_culture | table contenant les différentes natures de culture
natcult||varchar(2)|||DVF|ann_nature_culture|1
libnatcult||varchar(254)|||DVF|ann_nature_culture|2
table : ann_nature_culture_speciale | table contenant les différentes natures de culture spéciale
natcultspe||varchar(5)|||DVF|ann_nature_culture_speciale|1
libnatcusp||varchar(254)|||DVF|ann_nature_culture_speciale|2
table : ann_nature_mutation | table contenant les natures de mutation
idnatmut|identifiant de clef primaire de la table ann_nature_mutation|serial|PK||DVF|ann_nature_mutation|1
libnatmut|libellé de la nature de mutation|varchar(45)|U||DVF|ann_nature_mutation|2
table : ann_type_local | table contenant les types de locaux
codtyploc||integer|||DVF|ann_type_local|1
libtyploc||varchar(254)|||DVF|ann_type_local|2
